i,u,eta_F,load,power,prod,eff,eff_m,prod_m,power_m
110,1.280226831,0.050882317,0.014009496,0.014009496,0.020940288,1.494721041,183.6546757,4.042823992,0.000135071
111,1.280935137,0.051760806,0.014144676,0.014144676,0.021495478,1.51968678,184.6844752,4.107023156,0.00013518
112,1.281640554,0.052645499,0.014279966,0.014279966,0.02205984,1.544810455,185.7034307,4.171525365,0.000135289
113,1.282343108,0.053536354,0.014415363,0.014415363,0.022633427,1.570090715,186.7115626,4.236325389,0.000135397
114,1.283042823,0.05443333,0.014550868,0.014550868,0.023216291,1.595526206,187.7088918,4.301418002,0.000135505
115,1.283739725,0.055336383,0.01468648,0.01468648,0.023808481,1.621115575,188.6954395,4.366797988,0.000135612
116,1.284433838,0.056245471,0.014822198,0.014822198,0.024410048,1.646857468,189.6712273,4.432460137,0.000135718
117,1.285125185,0.057160552,0.014958023,0.014958023,0.025021041,1.672750528,190.636277,4.498399248,0.000135824
118,1.285813792,0.058081584,0.015093953,0.015093953,0.025641507,1.698793398,191.590611,4.564610128,0.00013593
119,1.286499681,0.059008523,0.015229987,0.015229987,0.026271495,1.724984722,192.5342519,4.631087594,0.000136035
120,1.287182875,0.059941326,0.015366126,0.015366126,0.026911052,1.751323141,193.4672228,4.697826472,0.000136139
121,1.287863398,0.060879951,0.015502369,0.015502369,0.027560224,1.777807297,194.3895472,4.7648216,0.000136243
122,1.288541272,0.061824353,0.015638715,0.015638715,0.028219057,1.804435831,195.3012489,4.832067825,0.000136346
123,1.28921652,0.062774491,0.015775163,0.015775163,0.028887596,1.831207383,196.202352,4.899560006,0.000136449
124,1.289889163,0.06373032,0.015911714,0.015911714,0.029565884,1.858120594,197.0928813,4.967293014,0.000136551
125,1.290559224,0.064691796,0.016048367,0.016048367,0.030253966,1.885174104,197.9728617,5.035261733,0.000136653
126,1.291226724,0.065658877,0.016185121,0.016185121,0.030951884,1.912366554,198.8423187,5.103461057,0.000136754
127,1.291891684,0.066631518,0.016321975,0.016321975,0.03165968,1.939696583,199.701278,5.171885896,0.000136855
128,1.292554125,0.067609676,0.01645893,0.01645893,0.032377396,1.967162833,200.5497659,5.240531174,0.000136955
129,1.293214068,0.068593306,0.016595985,0.016595985,0.033105072,1.994763944,201.387809,5.309391827,0.000137055
130,1.293871533,0.069582365,0.016733138,0.016733138,0.033842748,2.022498557,202.2154343,5.378462808,0.000137154
131,1.294526541,0.070576808,0.016870391,0.016870391,0.034590465,2.050365313,203.0326693,5.447739083,0.000137253
132,1.295179112,0.071576591,0.017007742,0.017007742,0.035348259,2.078362856,203.8395417,5.517215636,0.000137351
133,1.295829265,0.07258167,0.017145191,0.017145191,0.03611617,2.106489827,204.6360799,5.586887466,0.000137449
